productCode,productName,customerName,orderDate,total_price
S10_1949,"1952 Alpine Renault 1300","Mini Gifts Distributors Ltd.",2004-10-21,3643.10
S10_1949,"1952 Alpine Renault 1300","Corrida Auto Replicas, Ltd",2003-05-28,3497.41
S10_1949,"1952 Alpine Renault 1300","Amica Models & Co.",2004-08-17,3497.41
S10_1949,"1952 Alpine Renault 1300","Baane Mini Imports",2003-01-29,3428.80
S10_1949,"1952 Alpine Renault 1300","Auto Associés & Cie.",2004-10-11,3424.48
S12_1099,"1968 Ford Mustang","Corporate Gift Ideas Co.",2003-10-10,3397.14
S12_1099,"1968 Ford Mustang","Vida Sport, Ltd",2004-08-30,3241.56
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Osaka Souveniers Co.",2004-01-12,3226.43
S12_1108,"2001 Ferrari Enzo","Mini Creations Ltd.",2003-11-14,3125.28
S12_1108,"2001 Ferrari Enzo","AV Stores, Co.",2004-10-14,3108.62
S12_1108,"2001 Ferrari Enzo","Danish Wholesale Imports",2003-02-11,3085.80
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Corporate Gift Ideas Co.",2003-10-10,3067.56
S12_1108,"2001 Ferrari Enzo","Dragon Souveniers, Ltd.",2003-10-22,3029.76
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Mini Classics",2004-10-15,3005.60
S12_1099,"1968 Ford Mustang","Mini Gifts Distributors Ltd.",2003-07-02,2943.89
S10_1949,"1952 Alpine Renault 1300","Scandinavian Gift Ideas",2004-09-08,2940.14
S12_1108,"2001 Ferrari Enzo","Muscle Machine Inc",2003-06-03,2898.75
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Technics Stores Inc.",2003-10-28,2893.32
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Tokyo Collectables, Ltd",2004-11-23,2850.72
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Australian Collectors, Co.",2004-02-20,2846.85
S12_1099,"1968 Ford Mustang","L'ordine Souveniers",2004-07-06,2830.95
S12_1099,"1968 Ford Mustang","Toms Spezialitäten, Ltd",2004-10-16,2811.46
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","La Rochelle Gifts",2004-07-23,2788.74
S18_3232,"1992 Ferrari 360 Spider red","Dragon Souveniers, Ltd.",2003-10-22,2773.80
S12_1099,"1968 Ford Mustang","La Rochelle Gifts",2005-02-03,2772.60
S18_1749,"1917 Grand Touring Sedan","Amica Models & Co.",2004-08-17,2745.50
S12_1099,"1968 Ford Mustang","Land of Toys Inc.",2004-11-15,2743.50
S12_3891,"1969 Ford Falcon","Dragon Souveniers, Ltd.",2003-10-22,2740.68
S18_1749,"1917 Grand Touring Sedan","Mini Gifts Distributors Ltd.",2003-11-12,2716.60
S12_1099,"1968 Ford Mustang","Suominen Souveniers",2005-01-06,2714.25
S18_3232,"1992 Ferrari 360 Spider red","Toms Spezialitäten, Ltd",2004-10-16,2706.06
S18_2795,"1928 Mercedes-Benz SSK","Amica Models & Co.",2004-08-17,2696.71
S18_1749,"1917 Grand Touring Sedan","Rovelli Gifts",2003-11-05,2692.80
S12_3891,"1969 Ford Falcon","Mini Gifts Distributors Ltd.",2003-08-08,2685.28
S12_1108,"2001 Ferrari Enzo","Mini Gifts Distributors Ltd.",2003-08-08,2659.84
S12_1108,"2001 Ferrari Enzo","Saveley & Henriot, Co.",2004-01-02,2649.45
S12_1108,"2001 Ferrari Enzo","Heintze Collectables",2004-10-22,2649.45
S12_1099,"1968 Ford Mustang","Marseille Mini Autos",2003-05-08,2646.22
S12_1099,"1968 Ford Mustang","Herkku Gifts",2003-11-12,2646.22
S12_1099,"1968 Ford Mustang","Cruz & Sons Co.",2003-03-03,2646.08
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,2620.41
S18_2795,"1928 Mercedes-Benz SSK","AV Stores, Co.",2003-03-18,2619.04
S18_1749,"1917 Grand Touring Sedan","Muscle Machine Inc",2003-12-02,2601.00
S18_2795,"1928 Mercedes-Benz SSK","Mini Gifts Distributors Ltd.",2005-03-04,2592.00
S12_1099,"1968 Ford Mustang","Online Mini Collectables",2004-08-02,2587.76
S18_4721,"1957 Corvette Convertible","Corporate Gift Ideas Co.",2003-10-10,2571.30
S12_1099,"1968 Ford Mustang","Auto Canal+ Petit",2004-01-15,2568.30
S12_1099,"1968 Ford Mustang","Salzburg Collectables",2005-05-17,2560.60
S18_2795,"1928 Mercedes-Benz SSK","Mini Gifts Distributors Ltd.",2004-10-21,2553.23
S12_3891,"1969 Ford Falcon","Muscle Machine Inc",2003-06-03,2543.40
S12_3891,"1969 Ford Falcon","Heintze Collectables",2004-10-22,2543.40
S18_1662,"1980s Black Hawk Helicopter",giftsbymail.co.uk,2004-11-01,2526.12
S18_1662,"1980s Black Hawk Helicopter","Euro+ Shopping Channel",2004-06-24,2523.04
S10_1949,"1952 Alpine Renault 1300","Online Diecast Creations Co.",2004-11-04,2520.14
S18_3232,"1992 Ferrari 360 Spider red","Herkku Gifts",2003-11-12,2504.61
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2004-01-16,2492.64
S18_2795,"1928 Mercedes-Benz SSK","AV Stores, Co.",2004-11-17,2490.84
S18_1749,"1917 Grand Touring Sedan","Mini Gifts Distributors Ltd.",2004-10-21,2485.40
S18_4721,"1957 Corvette Convertible","Marseille Mini Autos",2003-05-08,2478.94
S10_4698,"2003 Harley-Davidson Eagle Drag Bike",Toys4GrownUps.com,2003-08-25,2478.88
S12_3891,"1969 Ford Falcon","AV Stores, Co.",2004-10-14,2470.78
S18_1662,"1980s Black Hawk Helicopter","Collectable Mini Designs Co.",2004-02-19,2469.42
